h3,population_2020_x,GN,DS,District,PREPAID_ARPU,POSTPAID_ARPU,HBB_ARPU,bank_count,gas_station_count,pharmacy_count,school_count,grocery_or_supermarket_count,poi_count,Rural Urban Classifications,SEC breakdown,Revenue potential,CX_daytime,busy_hour,Busy day,Postal Code,lat,lng,geometry,k5cls
88610359adfffff,23.35682392,Ovitiyagala,Horana,Kalutara,307.0416667,1319.291667,602.907271,0,0,0,0,0,0,0,0,0,12,12:00 PM,sun,LK1309225,6.728468926,80.06140872,"POLYGON ((80.06558421067778 6.725764305442732, 80.06570832921075 6.730803660569756, 80.06153276387177 6.7335082100355, 80.05723332129554 6.731173416282714, 80.05710934734587 6.726134265226406, 80.06128467139348 6.723429703847459, 80.06558421067778 6.725764305442732))",1
88610224c3fffff,789.8836634,Yatiyana East,Agalawatta,Kalutara,314.6363636,1062.727273,537.358453,0,0,0,0,0,0,0,0,0,419,12:00 PM,sun,LK1333085,6.52819872,80.14130135,"POLYGON ((80.14547681811649 6.525489468280413, 80.14560222230146 6.530528404927867, 80.14142668712985 6.533237586983486, 80.13712598814179 6.530907842263682, 80.13700072852664 6.525869108429883, 80.14117602333404 6.523159916497431, 80.14547681811649 6.525489468280413))",3
88611c95a9fffff,980.2795539,Kudakanda,Seethawaka,Colombo,324.5714286,1370.571429,684.5551201,0,0,0,0,0,0,0,0,0,692,6:00 PM,fri,LK1115325,6.878581773,80.09057287,"POLYGON ((80.09475128502822 6.87587873635898, 80.09487596056776 6.880920509523459, 80.09069747131318 6.883623473862807, 80.08639454781519 6.881284677898287, 80.08627001705742 6.876243108737535, 80.09044826502024 6.873540131532888, 80.09475128502822 6.87587873635898))",3
8861023413fffff,33.19706407,Yattapatha,Walallawita,Kalutara,275,948.5,613.6474667,0,0,0,0,0,0,0,0,0,18,4:00 PM,thu,LK1339165,6.423602867,80.27876128,"POLYGON ((80.28293980653197 6.420889198006172, 80.28306751660895 6.425930193877169, 80.2788889177781 6.428643795148535, 80.2745828479998 6.4263164087435, 80.27445528268396 6.421275613944015, 80.27863364238954 6.418562004473125, 80.28293980653197 6.420889198006172))",1
8861034143fffff,2790.884554,Kalapugama West,Kalutara,Kalutara,400.7,1418.566667,615.0582806,0,0,0,1,0,1,0,0,0,"1,482",8:00 AM,tue,LK1321085,6.641870642,79.96602256,"POLYGON ((79.97019378868185 6.639166828623957, 79.97031624518921 6.644202818539374, 79.96614494176615 6.646906560604629, 79.96185142373962 6.64457432461759, 79.96172911153337 6.639538539686196, 79.96590017305694 6.636834785753186, 79.97019378868185 6.639166828623957))",2
88611c9661fffff,869.8138393,Nimalagama,Ingiriya,Kalutara,314.3333333,1214.083333,572.185867,0,0,0,0,0,0,0,0,0,462,6:00 PM,sun,LK1310095,6.762017564,80.15985886,"POLYGON ((80.16403799374775 6.759311289573865, 80.16416380733251 6.764353443197011, 80.15998459885662 6.76705964630164, 80.15567981737267 6.764723707311883, 80.15555414860953 6.759681756712099, 80.15973311651304 6.756975542073945, 80.16403799374775 6.759311289573865))",3
88610236bbfffff,146.9706911,Weerakanda,Walallawita,Kalutara,292.25,933.75,735.4620583,0,0,0,0,0,0,0,0,0,78,6:00 PM,sun,LK1339275,6.38676704,80.25659746,"POLYGON ((80.2607747935305 6.384053330505233, 80.26090211030321 6.389093326149401, 80.25672470733821 6.391806968143396, 80.25242022684969 6.389480622550258, 80.25229305475878 6.38444082815884, 80.25647021847884 6.381727178102881, 80.2607747935305 6.384053330505233))",1
886103d937fffff,20.88530189,Ihala Hewessa,Walallawita,Kalutara,283.4285714,1010.142857,1640.368997,0,0,0,0,0,0,0,0,0,11,2:00 PM,mon,LK1339290,6.347607494,80.28532995,"POLYGON ((80.28950769191999 6.34489263249079, 80.28963548366505 6.349932829863858, 80.28545767161066 6.352647624722361, 80.28115230677462 6.350322229783119, 80.28102465973517 6.345282233264649, 80.28520223283039 6.342567430825866, 80.28950769191999 6.34489263249079))",0
8861035a23fffff,786.8674858,Warakagoda North,Madurawala,Kalutara,309.3333333,1066.111111,748.4415789,1,0,0,0,0,1,0,0,0,418,6:00 PM,fri,LK1315135,6.620785367,80.10117274,"POLYGON ((80.10534811659765 6.618078311863508, 80.10547287201005 6.623117379896134, 80.10129742502589 6.625824364646432, 80.09699746345164 6.623492292198027, 80.09687285260878 6.618453427598056, 80.10104805877494 6.615746432009081, 80.10534811659765 6.618078311863508))",3
88611c81a3fffff,693.8907181,Etambagahawatta,Dompe,Gampaha,306.9,1185.1,730.7109142,0,0,0,0,0,0,0,0,0,430,6:00 PM,thu,LK1230085,7.044273181,80.11166062,"POLYGON ((80.11584190946881 7.041572171216913, 80.11596701062138 7.04661625944139, 80.11178565564556 7.049317195315964, 80.10747944089992 7.046974056946675, 80.10735448472478 7.041930172766346, 80.11153559832222 7.039229222906467, 80.11584190946881 7.041572171216913))",3
88611c8c29fffff,1414.383401,Weediyawatta,Gampaha,Gampaha,316.25,1397.075,651.728953,0,0,0,2,0,2,0,0,0,876,6:00 PM,fri,LK1224115,7.092868475,80.03641473,"POLYGON ((80.04059420101737 7.09016987570205, 80.04071803474289 7.095212629100418, 80.03653849547086 7.09791115340754, 80.03223536451802 7.09556693915272, 80.03211167565458 7.090524390723264, 80.03629097288628 7.087825851575102, 80.04059420101737 7.09016987570205))",3
88611c95e1fffff,715.9832636,Wewelpanawa,Padukka,Colombo,321,1337.461538,687.4045008,0,0,0,0,0,0,0,0,0,505,6:00 PM,sat,LK1118060,6.870472267,80.10310842,"POLYGON ((80.10728714505687 6.867768833877983, 80.10741203162927 6.872810824179027, 80.10323324076663 6.875514184635342, 80.09892980451738 6.8731755675087, 80.09880506274587 6.868133781056681, 80.10298361242707 6.865430407877565, 80.10728714505687 6.867768833877983))",3
88611c128bfffff,572.6347784,Essella,Minuwangoda,Gampaha,310.7241379,1272.931034,695.47057,0,0,0,0,0,0,0,0,0,355,6:00 PM,thu,LK1215220,7.176606084,80.02573064,"POLYGON ((80.02991086450689 7.173909014126039, 80.03003454821398 7.178952369489807, 80.02585425676033 7.181649364271903, 80.02155052385525 7.179303019230533, 80.02142698506384 7.174259869090561, 80.02560703426623 7.171562858763559, 80.02991086450689 7.173909014126039))",3
886102274bfffff,148.7639261,Midalana,Palindanuwara,Kalutara,289,1063.833333,485.2009421,0,0,0,0,0,0,0,0,0,79,2:00 PM,tue,LK1336130,6.515114651,80.26408639,"POLYGON ((80.26826565076944 6.512402578363313, 80.26839314687297 6.517444348116899, 80.26421381785579 6.520156352628511, 80.25990723211818 6.517826596370162, 80.25977988082867 6.51278502802297, 80.26395897046702 6.510073014522838, 80.26826565076944 6.512402578363313))",1
88610349e5fffff,3457.073883,Mahalwarawa,Kesbewa,Colombo,342.512605,1743.016807,780.726422,0,0,0,1,0,1,0,0,0,"2,439",6:00 PM,tue,LK1136120,6.831305465,79.95791034,"POLYGON ((79.96208378963189 6.828604636906356, 79.96220618070878 6.833642614089212, 79.9580326559806 6.836343369221401, 79.9537369824308 6.834006160528097, 79.95361473580981 6.828968388754038, 79.95778801828713 6.826267620259904, 79.96208378963189 6.828604636906356))",2
8861022503fffff,223.5828475,Galahitiya,Bulathsinhala,Kalutara,304.3333333,1081.5,588.9245675,0,0,0,0,0,0,0,0,0,119,5:00 PM,sat,LK1312220,6.59301974,80.21508239,"POLYGON ((80.2192610961031 6.590309825688897, 80.21938778613845 6.595351345929145, 80.21520901227537 6.598061191077623, 80.21090378826402 6.59572952587602, 80.21077724301183 6.590688207736797, 80.21495577699211 6.587978352693297, 80.2192610961031 6.590309825688897))",1
886103481bfffff,1604.82418,Kahapola,Kesbewa,Colombo,330.7692308,1537.353846,622.2117534,0,0,0,0,0,0,0,0,0,"1,132",6:00 PM,thu,LK1136365,6.749105768,79.93472793,"POLYGON ((79.93889953876317 6.746404222328097, 79.9390215024529 6.751440689720708, 79.93484982076461 6.75414216362523, 79.93055641769536 6.751807183018193, 79.93043459833693 6.746770921149844, 79.93460603772083 6.744069434359676, 79.93889953876317 6.746404222328097))",3
88611c1513fffff,721.1772078,Miriswatta,Divulapitiya,Gampaha,318.1153846,1395.961538,642.0668696,0,0,0,1,0,1,0,0,0,447,6:00 PM,thu,LK1209320,7.234252361,79.91253803,"POLYGON ((79.91671528635398 7.231558727819513, 79.91683705735227 7.236599871442193, 79.91265972946421 7.239293428298024, 79.90836087379974 7.23694585824276, 79.90823924752651 7.231904921202347, 79.91241633219715 7.229211347630436, 79.91671528635398 7.231558727819513))",3
88610351d9fffff,802.0265994,Halkandavila,Beruwala,Kalutara,348.2083333,1315.708333,645.7480338,0,0,0,0,0,0,0,0,0,426,6:00 PM,fri,LK1324105,6.518765303,80.01386664,"POLYGON ((80.01803782400131 6.516058664213604, 80.01816104931483 6.521094355348716, 80.01398979209783 6.523800924521971, 80.0096955509139 6.52147181317832, 80.00957246989199 6.516436326268335, 80.01374348576677 6.513729746472196, 80.01803782400131 6.516058664213604))",3
8861034b67fffff,1338.056951,Thalagala South,Horana,Kalutara,326.2580645,1359.322581,596.1300255,0,0,0,1,0,1,0,0,0,711,6:00 PM,fri,LK1309090,6.774927944,80.03709969,"POLYGON ((80.04127499630451 6.772224539040314, 80.0413987178049 6.77726383046427, 80.03722333636399 6.779967163316658, 80.0329244749782 6.777631217163375, 80.03280089805172 6.772592130164161, 80.03697603794151 6.769888784888825, 80.04127499630451 6.772224539040314))",3
8861035b13fffff,240.8697858,Ihala Karannagoda,Madurawala,Kalutara,305.1111111,1074.666667,748.4521829,0,0,0,1,0,1,0,0,0,128,6:00 PM,mon,LK1315125,6.643274281,80.10597193,"POLYGON ((80.11014776300527 6.640567447608114, 80.11027260920557 6.645606900052584, 80.10609671068964 6.648313662920438, 80.10179620679236 6.645980984317823, 80.10167150519216 6.640941735292529, 80.10584716289348 6.638234961445906, 80.11014776300527 6.640567447608114))",1
88610224adfffff,326.9239565,Girikola,Agalawatta,Kalutara,311.0909091,1064.909091,579.8704493,0,0,0,0,0,0,0,0,0,174,8:00 AM,mon,LK1333005,6.56580276,80.14648017,"POLYGON ((80.1506562938978 6.563093934489776, 80.15078180135855 6.56813345352513, 80.14660560441209 6.570842209383856, 80.14230414038971 6.56851145633185, 80.14217877754386 6.563472140120569, 80.14635473410982 6.560763374132426, 80.1506562938978 6.563093934489776))",1
886102246bfffff,499.0911044,Lathpandura East,Palindanuwara,Kalutara,304,1079.625,588.4661118,0,0,0,0,0,0,0,0,0,265,8:00 AM,fri,LK1336080,6.54027853,80.20951202,"POLYGON ((80.21368985070657 6.537567984340093, 80.21381642457871 6.542608733138791, 80.20963852323568 6.545319210256218, 80.20533428787196 6.542988948100451, 80.20520785872341 6.537948401369786, 80.2093855202193 6.535237914722002, 80.21368985070657 6.537567984340093))",3
88611c15a9fffff,1018.225147,Katana West,Katana,Gampaha,334.1129032,1554.564516,631.8520973,0,0,0,0,0,0,0,0,0,631,6:00 PM,sat,LK1206040,7.257799904,79.89189598,"POLYGON ((79.89607286661848 7.255107105888781, 79.89619429385246 7.260147973128198, 79.89201733820285 7.262840694257079, 79.88771919873656 7.260492565170617, 79.88759791620444 7.255451904781001, 79.89177462844124 7.252759166623578, 79.89607286661848 7.255107105888781))",3
88611c1727fffff,589.6514855,Henpitagedara,Divulapitiya,Gampaha,309.2666667,1286.833333,698.5151381,0,0,0,0,0,0,0,0,0,365,6:00 PM,wen,LK1209510,7.216697972,79.97151971,"POLYGON ((79.97569868125379 7.214002739257581, 79.97582145368482 7.219045165062705, 79.97164241339352 7.221740322044696, 79.96734084340966 7.219393069417396, 79.96721821581484 7.214350849507274, 79.97139701337215 7.211655676324898, 79.97569868125379 7.214002739257581))",3
8861022519fffff,45.98446035,Ilukpatha,Palindanuwara,Kalutara,302.8888889,1112.111111,590.3270922,0,0,0,0,0,0,0,0,0,24,6:00 PM,tue,LK1336035,6.578274569,80.20621941,"POLYGON ((80.21039763225689 6.575564634499123, 80.21052416500848 6.580605761971419, 80.20634587093478 6.583315626882469, 80.20204128404411 6.580984374156481, 80.20191489604382 6.575943448858436, 80.20609295018717 6.573233574107296, 80.21039763225689 6.575564634499123))",1
